ティッカー,詳細,現在値,変動率,変動,評価,出来高,時価総額,PER: 株価収益率 (直近12ヶ月),基本1株当たり利益 (直近12ヶ月),従業員数,セクター,EMA: 指数移動平均線 (20),EMA: 指数移動平均線 (200)
JBT,John Bean Technologies Corporation,149.07,-1.50644202,-2.28,買い,88981,4735529652.523149,45.2931272,3.275,6200,製造加工,143.63814132,131.55581654
SLGN,Silgan Holdings Inc.,42.85,0,0,買い,197192,4730987478.582195,13.86720664,3.0822,15500,素材産業,41.9393033,40.05513522
KOD,Kodiak Sciences Inc,91.93,-2.66807835,-2.52,中立,437441,4729939821.611256,,-3.8315,72,健康テクノロジー,92.15271469,96.29535303
CLDR,"Cloudera, Inc.",15.95,0.12554928,0.02,買い,7922825,4723315042.090395,,-0.4762,2728,テクノロジーサービス,15.9092519,14.22919711
ADS,Alliance Data Systems Corporation,94.7,0.10570825,0.1,売り,453732,4711893008.988339,6.67831285,14.3046,8000,テクノロジーサービス,94.6775853,94.80277813
LPSN,"LivePerson, Inc.",67.47,1.84150943,1.22,買い,435427,4707072393.884889,,-1.3982,1201,テクノロジーサービス,63.52952671,57.9163995
HE,"Hawaiian Electric Industries, Inc.",43.06,-2.04731574,-0.9,売り,209226,4706932763.043837,19.66329966,2.2318,3702,施設サービス事業,43.86500683,41.32121798
KWR,Quaker Chemical Corporation,262.19,0.2600283,0.68,買い,50073,4687497377.399184,31.4336189,8.2908,4200,素材産業,252.15348804,238.74433854
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",71.75,-1.50995196,-1.1,売り,1359349,4668847784.619093,24.04916512,3.048,9800,小売業,79.76717557,86.5272752
ATC,Atotech Limited,23.96,0.08354219,0.02,買い,118609,4664912252.645921,,-1.1369,3862,素材産業,23.75435967,
TRIP,"TripAdvisor, Inc.",33.94,-1.73711639,-0.6,売り,1439929,4663568464.203644,,-1.7789,2596,消費者サービス,35.02613923,37.67278163
QLYS,"Qualys, Inc.",119.67,0.05852843,0.07,買い,204314,4660539800.106922,70.42261905,1.7342,1498,テクノロジーサービス,112.91177991,104.72274496
CHX,ChampionX Corporation,23.09,-1.32478632,-0.31,中立,647005,4659612314.72093,394.22750424,0.062,6600,素材産業,23.0118895,21.19413871
EDIT,"Editas Medicine, Inc.",68.25,-6.42994242,-4.69,買い,1651051,4658831317.923042,,-2.5514,235,健康テクノロジー,62.16226887,45.89999179
TNL,Travel  Leisure Co.,53.89,-1.39066789,-0.76,売り,722736,4650574389.198981,32.25484439,1.7153,15700,消費者サービス,53.46851067,53.67935576
SANA,"Sana Biotechnology, Inc.",24.74,0.97959184,0.24,買い,1222513,4648417708.447411,,,,健康テクノロジー,22.46045325,
